"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-09","Canada","2016A000011124","Employment","Males","35 to 39 years","Persons","249","thousands","3","v2091294","1.3.2.13","1146.2","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","35 to 39 years","Persons","249","thousands","3","v2091294","1.3.2.13","1138.4","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","40 to 44 years","Persons","249","thousands","3","v2091295","1.3.2.14","1074.7","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","40 to 44 years","Persons","249","thousands","3","v2091295","1.3.2.14","1077.5","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","40 to 44 years","Persons","249","thousands","3","v2091295","1.3.2.14","1089.5","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","40 to 44 years","Persons","249","thousands","3","v2091295","1.3.2.14","1096.0","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","40 to 44 years","Persons","249","thousands","3","v2091295","1.3.2.14","1109.0","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","45 to 49 years","Persons","249","thousands","3","v2091296","1.3.2.15","971.3","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","45 to 49 years","Persons","249","thousands","3","v2091296","1.3.2.15","988.1","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","45 to 49 years","Persons","249","thousands","3","v2091296","1.3.2.15","981.1","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","45 to 49 years","Persons","249","thousands","3","v2091296","1.3.2.15","995.4","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","45 to 49 years","Persons","249","thousands","3","v2091296","1.3.2.15","971.5","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","50 to 54 years","Persons","249","thousands","3","v2091297","1.3.2.16","1034.1","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","50 to 54 years","Persons","249","thousands","3","v2091297","1.3.2.16","1013.4","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","50 to 54 years","Persons","249","thousands","3","v2091297","1.3.2.16","1017.7","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","50 to 54 years","Persons","249","thousands","3","v2091297","1.3.2.16","1024.5","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","50 to 54 years","Persons","249","thousands","3","v2091297","1.3.2.16","1041.7","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","55 to 59 years","Persons","249","thousands","3","v2091298","1.3.2.17","1015.1","","","","1"
